candle_time,open,high,low,close,volume
2021-04-11 08:00:00,59769.13,60699.0,59232.52,60002.43,41156.715391
2021-04-12 08:00:00,59998.8,61300.0,59350.59,59860.0,56375.037117
2021-04-13 08:00:00,59860.01,63777.77,59805.15,63575.0,82848.688746
2021-04-14 08:00:00,63575.01,64854.0,61301.0,62959.53,82616.343993
2021-04-15 08:00:00,62959.53,63800.0,62020.0,63159.98,51649.70034
2021-04-16 08:00:00,63158.74,63520.61,60000.0,61334.8,91764.139884
2021-04-17 08:00:00,61334.81,62506.05,59580.91,60006.66,58912.256128
2021-04-18 08:00:00,60006.67,60499.0,50931.3,56150.01,124882.131824
2021-04-19 08:00:00,56150.01,57526.81,54221.58,55633.14,78229.042267
2021-04-20 08:00:00,55633.14,57076.24,53329.96,56425.0,72744.482151
2021-04-21 08:00:00,56425.0,56757.91,53536.02,53787.63,66984.756909
2021-04-22 08:00:00,53787.62,55521.48,50500.0,51690.96,104656.631337
2021-04-23 08:00:00,51690.95,52131.85,47500.0,51125.14,132230.780719
2021-04-24 08:00:00,51110.56,51166.22,48657.14,50047.84,55361.512573
2021-04-25 08:00:00,50047.84,50567.91,46930.0,49066.77,58255.645004
2021-04-26 08:00:00,49066.76,54356.62,48753.44,54001.39,86310.802124
2021-04-27 08:00:00,54001.38,55460.0,53222.0,55011.97,54064.034675
2021-04-28 08:00:00,55011.97,56428.0,53813.16,54846.22,55130.459015
2021-04-29 08:00:00,54846.23,55195.84,52330.94,53555.0,52486.019455
2021-04-30 08:00:00,53555.0,57963.0,53013.01,57694.27,68578.910045
2021-05-01 08:00:00,57697.25,58458.07,56956.14,57800.37,42600.351836
2021-05-02 08:00:00,57797.35,57911.02,56035.25,56578.21,36812.878863
2021-05-03 08:00:00,56578.21,58981.44,56435.0,57169.39,57649.931286
2021-05-04 08:00:00,57169.39,57200.0,53046.69,53200.01,85324.625903
2021-05-05 08:00:00,53205.05,58069.82,52900.0,57436.11,77263.923439
2021-05-06 08:00:00,57436.11,58360.0,55200.0,56393.68,70181.671908
2021-05-07 08:00:00,56393.68,58650.0,55241.63,57314.75,74542.747829
2021-05-08 08:00:00,57315.49,59500.0,56900.0,58862.05,69709.906028
2021-05-09 08:00:00,58866.53,59300.0,56235.66,58240.84,69806.11991
2021-05-10 08:00:00,58240.83,59500.0,53400.0,55816.14,89586.34925
2021-05-11 08:00:00,55816.14,56862.43,54370.0,56670.02,64329.54055
2021-05-12 08:00:00,56670.02,58000.01,48600.0,49631.32,99842.789836
2021-05-13 08:00:00,49537.15,51367.19,46000.0,49670.97,147332.002121
2021-05-14 08:00:00,49671.92,51483.0,48799.75,49841.45,80082.204306
2021-05-15 08:00:00,49844.16,50700.0,46555.0,46762.99,89437.449359
2021-05-16 08:00:00,46762.99,49795.89,43825.39,46431.5,114269.812775
2021-05-17 08:00:00,46426.83,46686.0,42001.0,43538.04,166657.172736
2021-05-18 08:00:00,43538.02,45799.29,42250.02,42849.78,116979.860784
2021-05-19 08:00:00,42849.78,43584.9,30000.0,36690.09,354347.243161
2021-05-20 08:00:00,36671.23,42451.67,34850.0,40526.64,203017.596923
2021-05-21 08:00:00,40525.39,42200.0,33488.0,37252.01,202100.888258
2021-05-22 08:00:00,37263.35,38829.0,35200.62,37449.73,126542.243689
2021-05-23 08:00:00,37458.51,38270.64,31111.01,34655.25,217136.046593
2021-05-24 08:00:00,34681.44,39920.0,34031.0,38796.29,161630.893971
2021-05-25 08:00:00,38810.99,39791.77,36419.62,38324.72,111996.228404
2021-05-26 08:00:00,38324.72,40841.0,37800.44,39241.91,104780.773396
2021-05-27 08:00:00,39241.92,40411.14,37134.27,38529.98,86547.158794
2021-05-28 08:00:00,38529.99,38877.83,34684.0,35663.49,135377.62972
2021-05-29 08:00:00,35661.79,37338.58,33632.76,34605.15,112663.092689
2021-05-30 08:00:00,34605.15,36488.0,33379.0,35641.27,73535.386967
2021-05-31 08:00:00,35641.26,37499.0,34153.84,37253.81,94160.735289
2021-06-01 08:00:00,37253.82,37894.81,35666.0,36693.09,81234.66377
2021-06-02 08:00:00,36694.85,38225.0,35920.0,37568.68,67587.372495
2021-06-03 08:00:00,37568.68,39476.0,37170.0,39246.79,75889.106011
2021-06-04 08:00:00,39246.78,39289.07,35555.15,36829.0,91317.799245
2021-06-05 08:00:00,36829.15,37925.0,34800.0,35513.2,70459.62149
2021-06-06 08:00:00,35516.07,36480.0,35222.0,35796.31,47650.206637
2021-06-07 08:00:00,35796.31,36900.0,33300.0,33552.79,77574.952573
2021-06-08 08:00:00,33556.96,34068.01,31000.0,33380.81,123251.189037
2021-06-09 08:00:00,33380.8,37534.79,32396.82,37388.05,136607.597517
2021-06-10 08:00:00,37388.05,38491.0,35782.0,36675.72,109527.284943
2021-06-11 08:00:00,36677.83,37680.4,35936.77,37331.98,78466.0053
2021-06-12 08:00:00,37331.98,37463.63,34600.36,35546.11,87717.54999
2021-06-13 08:00:00,35546.12,39380.0,34757.0,39020.57,86921.025555
2021-06-14 08:00:00,39020.56,41064.05,38730.0,40516.29,108522.391949
2021-06-15 08:00:00,40516.28,41330.0,39506.4,40144.04,80679.622838
2021-06-16 08:00:00,40143.8,40527.14,38116.01,38349.01,87771.976937
2021-06-17 08:00:00,38349.0,39559.88,37365.0,38092.97,79541.307119
2021-06-18 08:00:00,38092.97,38202.84,35129.29,35819.84,95228.042935
2021-06-19 08:00:00,35820.48,36457.0,34803.52,35483.72,68712.449461
2021-06-20 08:00:00,35483.72,36137.72,33336.0,35600.16,89878.17085
2021-06-21 08:00:00,35600.17,35750.0,31251.23,31608.93,168778.873159
2021-06-22 08:00:00,31614.12,33298.78,28805.0,32509.56,204208.179762
2021-06-23 08:00:00,32509.56,34881.0,31683.0,33678.07,126966.100563
2021-06-24 08:00:00,33675.07,35298.0,32286.57,34663.09,86625.80426
2021-06-25 08:00:00,34663.08,35500.0,31275.0,31584.45,116061.130356
2021-06-26 08:00:00,31576.09,32730.0,30151.0,32283.65,107820.375287
2021-06-27 08:00:00,32283.65,34749.0,31973.45,34700.34,96613.244211
2021-06-28 08:00:00,34702.49,35297.71,33862.72,34494.89,82222.267819
2021-06-29 08:00:00,34494.89,36600.0,34225.43,35911.73,90788.79622
2021-06-30 08:00:00,35911.72,36100.0,34017.55,35045.0,77152.197634
2021-07-01 08:00:00,35045.0,35057.57,32711.0,33504.69,71708.266112
2021-07-02 08:00:00,33502.33,33977.04,32699.0,33786.55,56172.181378
2021-07-03 08:00:00,33786.54,34945.61,33316.73,34669.13,43044.578641
2021-07-04 08:00:00,34669.12,35967.85,34357.15,35286.51,43703.475789
2021-07-05 08:00:00,35288.13,35293.78,33125.55,33690.14,64123.874245
2021-07-06 08:00:00,33690.15,35118.88,33532.0,34220.01,58210.596349
2021-07-07 08:00:00,34220.02,35059.09,33777.77,33862.12,53807.521675
2021-07-08 08:00:00,33862.11,33929.64,32077.0,32875.71,70136.48032
2021-07-09 08:00:00,32875.71,34100.0,32261.07,33815.81,47153.939899
2021-07-10 08:00:00,33815.81,34262.0,33004.78,33502.87,34761.175468
2021-07-11 08:00:00,33502.87,34666.0,33306.47,34258.99,31572.647448
2021-07-12 08:00:00,34259.0,34678.43,32658.34,33086.63,48181.403762
2021-07-13 08:00:00,33086.94,33340.0,32202.25,32729.77,41126.361008
2021-07-14 08:00:00,32729.12,33114.03,31550.0,32820.02,46777.823484
2021-07-15 08:00:00,32820.03,33185.25,31133.0,31880.0,51639.576353
2021-07-16 08:00:00,31874.49,32249.18,31020.0,31383.87,48499.864154
2021-07-17 08:00:00,31383.86,31955.92,31164.31,31520.07,34012.242132
2021-07-18 08:00:00,31520.07,32435.0,31108.97,31778.56,35923.716186
2021-07-19 08:00:00,31778.57,31899.0,30407.44,30839.65,47340.468499
2021-07-20 08:00:00,30839.65,31063.07,29278.0,29790.35,61034.049017
2021-07-21 08:00:00,29790.34,32858.0,29482.61,32144.51,82796.265128
2021-07-22 08:00:00,32144.51,32591.35,31708.0,32287.83,46148.092433
2021-07-23 08:00:00,32287.58,33650.0,31924.32,33634.09,50112.863626
2021-07-24 08:00:00,33634.1,34500.0,33401.14,34258.14,47977.550138
2021-07-25 08:00:00,34261.51,35398.0,33851.12,35381.02,47852.928313
2021-07-26 08:00:00,35381.02,40550.0,35205.78,37237.6,152452.512724
2021-07-27 08:00:00,37241.33,39542.61,36383.0,39457.87,88397.267015
2021-07-28 08:00:00,39456.61,40900.0,38772.0,40019.56,101344.528441
2021-07-29 08:00:00,40019.57,40640.0,39200.0,40016.48,53998.439283
2021-07-30 08:00:00,40018.49,42316.71,38313.23,42206.37,73602.784805
2021-07-31 08:00:00,42206.36,42448.0,41000.15,41461.83,44849.791012
2021-08-01 08:00:00,41461.84,42599.0,39422.01,39845.44,53953.186326
2021-08-02 08:00:00,39850.27,40480.01,38690.0,39147.82,50837.351954
2021-08-03 08:00:00,39146.86,39780.0,37642.03,38207.05,57117.435853
2021-08-04 08:00:00,38207.04,39969.66,37508.56,39723.18,52329.35243
2021-08-05 08:00:00,39723.17,41350.0,37332.7,40862.46,84343.755621
2021-08-06 08:00:00,40862.46,43392.43,39853.86,42836.87,75753.941347
2021-08-07 08:00:00,42836.87,44700.0,42446.41,44572.54,73396.740808
2021-08-08 08:00:00,44572.54,45310.0,43261.0,43794.37,69329.092698
2021-08-09 08:00:00,43794.36,46454.15,42779.0,46253.4,74587.884845
2021-08-10 08:00:00,46248.87,46700.0,44589.46,45584.99,53814.643421
2021-08-11 08:00:00,45585.0,46743.47,45341.14,45511.0,52734.901977
2021-08-12 08:00:00,45510.67,46218.12,43770.0,44399.0,55266.108781
2021-08-13 08:00:00,44400.06,47886.0,44217.39,47800.0,48239.370431
2021-08-14 08:00:00,47799.99,48144.0,45971.03,47068.51,46114.359022
2021-08-15 08:00:00,47068.5,47372.27,45500.0,46973.82,42110.711334
2021-08-16 08:00:00,46973.82,48053.83,45660.0,45901.29,52480.574014
2021-08-17 08:00:00,45901.3,47160.0,44376.0,44695.95,57039.341629
2021-08-18 08:00:00,44695.95,46000.0,44203.28,44705.29,54099.415985
2021-08-19 08:00:00,44699.37,47033.0,43927.7,46760.62,53411.75392
2021-08-20 08:00:00,46760.62,49382.99,46622.99,49322.47,56850.352228
2021-08-21 08:00:00,49322.47,49757.04,48222.0,48821.87,46745.136584
2021-08-22 08:00:00,48821.88,49500.0,48050.0,49239.22,37007.887795
2021-08-23 08:00:00,49239.22,50500.0,49029.0,49488.85,52462.541954
2021-08-24 08:00:00,49488.85,49860.0,47600.0,47674.01,51014.594748
2021-08-25 08:00:00,47674.01,49264.3,47126.28,48973.32,44655.830342
2021-08-26 08:00:00,48973.32,49352.84,46250.0,46843.87,49371.277774
2021-08-27 08:00:00,46843.86,49149.93,46348.0,49069.9,42068.104965
2021-08-28 08:00:00,49069.9,49299.0,48346.88,48895.35,26681.063786
2021-08-29 08:00:00,48895.35,49632.27,47762.54,48767.83,32652.283473
2021-08-30 08:00:00,48767.84,48888.61,46853.0,46982.91,40288.35083
