candle_time,open,close,high,low,volume,ma,week,bias,invest_rate,smart_invest,normal_invest,si_share,ni_share,smart_share,normal_share,smart_capital,normal_capital,smart_invest_all,normal_invest_all,smart_rate,normal_rate
2013-06-10 08:00:00,100.0,104.18,108.0,93.0,9456.966566149988,122.12750491763889,0,-0.14695710789917826,1.2,,,0.0,,88.76967494912425,83.29338454197284,9248.024736199764,8677.50480158273,10500.0,,,
2013-06-11 08:00:00,104.68,107.36,108.03,103.4,3419.508262049998,121.92521032972604,1,-0.11946020261385568,1.2,,,0.0,,88.76967494912425,83.29338454197284,9530.31230253798,8942.377764426205,10500.0,,,
2013-06-12 08:00:00,107.07,106.68,119.0,105.0,4657.073810879999,121.7191939739189,2,-0.12355647028965198,1.2,,,0.0,,88.76967494912425,83.29338454197284,9469.948923572576,8885.738262937663,10500.0,,,
2013-06-13 08:00:00,106.28,102.0,109.14,95.0,5813.817440850006,121.4562713876,3,-0.16019157483856675,1.2,,,0.0,,88.76967494912425,83.29338454197284,9054.506844810674,8495.92522328123,10500.0,,,
2013-06-14 08:00:00,101.86,99.0,107.36,97.0,5295.678983599991,121.16079413249999,4,-0.18290400200138346,1.2,1200.0,1000.0,12.103057534909755,10.085881279091463,100.872732484034,93.37926582106431,9986.400515919366,9244.547316285367,11700.0,11000.0,0.8535385056341338,0.8404133923895788
2013-06-15 08:00:00,99.01,99.42,104.0,96.22,2397.848889410002,120.87844615675324,5,-0.17752086363623726,1.2,,,0.0,,100.872732484034,93.37926582106431,10028.76706356266,9283.766607930214,11700.0,,,
2013-06-16 08:00:00,99.43,99.0,101.1,98.66,1192.2101715700005,120.59795325730768,6,-0.1790905456846876,1.2,,,0.0,,100.872732484034,93.37926582106431,9986.400515919366,9244.547316285367,11700.0,,,
2013-06-17 08:00:00,99.0,100.49,101.01,98.3,1286.4402078700018,120.34342220341772,0,-0.16497305660677722,1.2,,,0.0,,100.872732484034,93.37926582106431,10136.700887320576,9383.682422358752,11700.0,,,
2013-06-18 08:00:00,100.39,104.12,108.5,99.99,6069.104177739991,120.140629425875,1,-0.13334897197088094,1.2,,,0.0,,100.872732484034,93.37926582106431,10502.868906237622,9722.649157289216,11700.0,,,
2013-06-19 08:00:00,104.49,104.99,107.5,102.99,2830.346560239999,119.95358461814814,2,-0.12474478912641232,1.2,,,0.0,,100.872732484034,93.37926582106431,10590.62818349873,9803.889118553541,11700.0,,,
2013-06-20 08:00:00,104.83,104.55,108.0,102.38,5580.15645347,119.76573602524391,3,-0.12704581903155324,1.2,,,0.0,,100.872732484034,93.37926582106431,10546.244181205755,9762.802241592273,11700.0,,,
2013-06-21 08:00:00,103.0,101.29,105.0,91.0,5584.193995460012,119.5431367960241,4,-0.15269079668847352,1.2,1200.0,1000.0,11.829427346787103,9.857856122322586,112.7021598308211,103.2371219433869,11415.60176926387,10456.888081645659,12900.0,12000.0,0.8849303697103775,0.8714073401371382
2013-06-22 08:00:00,101.29,100.23,102.4,98.49,1390.418392149999,119.31321850083333,5,-0.15994219869862986,1.2,,,0.0,,112.7021598308211,103.2371219433869,11296.137479843199,10347.456732385668,12900.0,,,
2013-06-23 08:00:00,100.0,100.4,101.5,98.6,796.2981047599998,119.09071004788237,6,-0.1569451558426972,1.2,,,0.0,,112.7021598308211,103.2371219433869,11315.296847014439,10365.007043116046,12900.0,,,
2013-06-24 08:00:00,100.4,98.68,102.13,95.38,2801.0470020900025,118.85337621011627,0,-0.16973330378476192,1.2,,,0.0,,112.7021598308211,103.2371219433869,11121.449132105427,10187.43919337342,12900.0,,,
2013-06-25 08:00:00,99.35,97.58,100.9,97.5,3395.164344160001,118.60885464448275,1,-0.17729582422420714,1.2,,,0.0,,112.7021598308211,103.2371219433869,10997.476756291522,10073.878359235694,12900.0,,,
2013-06-26 08:00:00,98.5,98.69,100.0,96.99,1466.1279017399977,118.38250402352273,2,-0.16634640554325333,1.2,,,0.0,,112.7021598308211,103.2371219433869,11122.576153703734,10188.471564592852,12900.0,,,
2013-06-27 08:00:00,98.01,96.31,98.72,96.31,1085.4747330400012,118.13449836033708,3,-0.18474280301904183,1.2,,,0.0,,112.7021598308211,103.2371219433869,10854.34501330638,9942.767214367592,12900.0,,,
2013-06-28 08:00:00,96.31,89.79,96.52,88.01,7594.032282080028,117.81955948966667,4,-0.23790242987731583,1.3,1300.0,1000.0,14.456542160809347,11.12041704677642,127.15870199163045,114.35753899016332,11417.5798518285,10268.163425926765,14200.0,13000.0,0.8040549191428521,0.7898587250712896
2013-06-29 08:00:00,89.2,88.8,91.6,86.15,1766.1863614599931,117.50066323153845,5,-0.24425958494364386,1.3,,,0.0,,127.15870199163045,114.35753899016332,11291.692736856783,10154.949462326502,14200.0,,,
2013-06-30 08:00:00,88.53,89.55,90.25,88.26,525.5426988200003,117.19685167467392,6,-0.23590097583353745,1.3,,,0.0,,127.15870199163045,114.35753899016332,11387.061763350506,10240.717616569125,14200.0,,,
2013-07-01 08:00:00,89.58,83.5,91.56,1.0,10021.30520817001,116.83451993623656,0,-0.2853139633254723,1.3,,,0.0,,127.15870199163045,114.35753899016332,10617.751616301142,9548.854505678637,14200.0,,,
2013-07-02 08:00:00,83.51,87.68,88.5,83.24,3732.32847998,116.5243654688298,1,-0.24753934812496914,1.3,,,0.0,,127.15870199163045,114.35753899016332,11149.27499062616,10026.86901865752,14200.0,,,
2013-07-03 08:00:00,89.0,77.402,89.56,75.0,8688.24345300004,116.11255109547369,2,-0.333388171478929,1.4,,,0.0,,127.15870199163045,114.35753899016332,9842.33785155618,8851.502232916622,14200.0,,,
2013-07-04 08:00:00,77.33,79.4,82.0,70.04,7081.44839216002,115.73012868822917,3,-0.3139210947056026,1.4,,,0.0,,127.15870199163045,114.35753899016332,10096.400938135459,9079.988595818968,14200.0,,,
2013-07-05 08:00:00,79.4,67.0,79.4,64.0,13816.961176109991,115.22775622752577,4,-0.41854287375254,1.5,1500.0,1000.0,22.354527909628093,14.903018606418728,149.51322990125854,129.26055759658206,10017.386403384322,8660.457358970998,15700.0,14000.0,0.6380500893875364,0.618604097069357
2013-07-06 08:00:00,67.0,66.12,73.26,62.94,10426.965307850023,114.72665667418367,5,-0.4236736089348742,1.5,,,0.0,,149.51322990125854,129.26055759658206,9885.814761071215,8546.708068286007,15700.0,,,
2013-07-07 08:00:00,66.12,73.98,74.07786,64.89,4403.968840049998,114.31507428353537,6,-0.35284125506923425,1.4,,,0.0,,149.51322990125854,129.26055759658206,11060.988748095107,9562.69605099514,15700.0,,,
2013-07-08 08:00:00,73.96,74.35,77.0,70.0,8789.767706270013,113.91542354069999,0,-0.3473227971325934,1.4,,,0.0,,149.51322990125854,129.26055759658206,11116.308643158573,9610.522457305875,15700.0,,,
2013-07-09 08:00:00,73.85,74.98,76.01,70.47,7041.325361009997,113.52992429772279,1,-0.33955738573936517,1.4,,,0.0,,149.51322990125854,129.26055759658206,11210.501977996366,9691.956608591723,15700.0,,,
2013-07-10 08:00:00,74.93,86.12,87.0,74.83,10374.852418189985,113.26119954970588,2,-0.23963369324721545,1.3,,,0.0,,149.51322990125854,129.26055759658206,12876.079359096386,11131.919220217647,15700.0,,,
2013-07-11 08:00:00,86.12,88.0,89.23,84.0,7510.966126280019,113.01594518514563,3,-0.22134881183503674,1.3,,,0.0,,149.51322990125854,129.26055759658206,13157.164231310751,11374.929068499221,15700.0,,,
2013-07-12 08:00:00,87.81,90.2,101.39,86.64,15077.54108663008,112.79656109682693,4,-0.20033023061252345,1.3,1300.0,1000.0,14.390830605532942,11.069869696563801,163.9040605067915,140.33042729314587,14784.146257712593,12657.804541841759,17000.0,15000.0,0.8696556622183879,0.843853636122784
2013-07-13 08:00:00,90.17,91.6,91.95,85.0,4116.227968849974,112.59468908638097,5,-0.18646251663143862,1.2,,,0.0,,163.9040605067915,140.33042729314587,15013.6119424221,12854.267140052161,17000.0,,,
2013-07-14 08:00:00,91.69,90.07,93.0,88.88,2380.351401349994,112.3821920195283,6,-0.19853850168406745,1.2,,,0.0,,163.9040605067915,140.33042729314587,14762.83872984671,12639.561586293648,17000.0,,,
2013-07-15 08:00:00,89.011,93.94,99.83,82.45,5898.457136150043,112.20983508476635,0,-0.16281848263091045,1.2,,,0.0,,163.9040605067915,140.33042729314587,15397.147444007993,13182.640339918124,17000.0,,,
2013-07-16 08:00:00,93.75,91.6,94.0,84.7,2092.3585305399984,112.01900327842593,1,-0.18228160116434897,1.2,,,0.0,,163.9040605067915,140.33042729314587,15013.6119424221,12854.267140052161,17000.0,,,
2013-07-17 08:00:00,91.58,91.48,92.8,89.22,2046.7274674899968,111.83057205568807,2,-0.18197682155783057,1.2,,,0.0,,163.9040605067915,140.33042729314587,14993.943455161287,12837.427488776984,17000.0,,,
2013-07-18 08:00:00,90.85,85.27,91.23,77.0,7708.734832600056,111.58911230972727,3,-0.23585734992385118,1.3,,,0.0,,163.9040605067915,140.33042729314587,13976.09923941411,11965.975535286549,17000.0,,,
2013-07-19 08:00:00,85.01,86.53,87.1,83.4,4794.183161720011,111.36335454117118,4,-0.22299395203644168,1.3,1300.0,1000.0,15.001189421230457,11.539376477869581,178.90524992802196,151.86980377101546,15480.67127627174,13141.294120305967,18300.0,16000.0,0.8459383211077454,0.821330882519123
2013-07-20 08:00:00,86.5,85.0,87.2,84.27,1301.9223731900004,111.12796744705358,5,-0.23511603826914346,1.3,,,0.0,,178.90524992802196,151.86980377101546,15206.946243881866,12908.933320536315,18300.0,,,
2013-07-21 08:00:00,85.09,85.79,86.4,84.0,2113.51241199,110.90373764663717,6,-0.22644626934625825,1.3,,,0.0,,178.90524992802196,151.86980377101546,15348.281391325005,13028.910465515417,18300.0,,,
2013-07-22 08:00:00,85.77,85.6,87.1,83.99,1354.677930089997,110.68177503570175,0,-0.2266116081677523,1.3,,,0.0,,178.90524992802196,151.86980377101546,15314.289393838679,13000.055202798922,18300.0,,,
2013-07-23 08:00:00,85.55,86.95,88.67,82.99,3368.915233929988,110.47541177452175,1,-0.21294703859114522,1.3,,,0.0,,178.90524992802196,151.86980377101546,15555.81148124151,13205.079437889794,18300.0,,,
2013-07-24 08:00:00,86.95,88.36,95.68,86.46,1618.342667289999,110.28476167301723,2,-0.19880136965813874,1.2,,,0.0,,178.90524992802196,151.86980377101546,15808.06788364002,13419.215861206925,18300.0,,,
2013-07-25 08:00:00,88.42,90.24,91.99899,87.15,3345.3688632699877,110.11343892367522,3,-0.18048150269333096,1.2,,,0.0,,178.90524992802196,151.86980377101546,16144.4097535047,13704.731092296433,18300.0,,,
2013-07-26 08:00:00,90.09,89.95,91.72,89.2,973.5339015700036,109.94256232262711,4,-0.18184551915352687,1.2,1200.0,1000.0,13.320763712685556,11.100636427237964,192.22601364070752,162.9704401982534,17290.729926981643,14659.191095832895,19500.0,17000.0,0.8867040988195715,0.8623053585784056
2013-07-27 08:00:00,89.95,88.02,90.11,87.8,1427.2840365199977,109.75833910983194,5,-0.19805637809514431,1.2,,,0.0,,192.22601364070752,162.9704401982534,16919.733720655076,14344.658146250265,19500.0,,,
2013-07-28 08:00:00,88.02,92.46,94.0,87.92,3411.0675999399937,109.61418628391667,6,-0.15649604184886104,1.2,,,0.0,,192.22601364070752,162.9704401982534,17773.217221219817,15068.24690073051,19500.0,,,
2013-07-29 08:00:00,92.01,93.37,93.73,90.54,2712.340327409998,109.47993681049587,0,-0.14714967216670335,1.2,,,0.0,,192.22601364070752,162.9704401982534,17948.142893632863,15216.550001310921,19500.0,,,
