candle_end_time,coin1_open,coin1_close,coin1_pct,coin2_open,coin2_close,coin2_pct,coin1_mom,coin2_mom,pos,trade_time,strategy_pct_adjust,coin1_net,coin2_net,strategy_net,total_capital_turn,week,normal_invest,normal_invest_all,normal_pct_adjust,normal_capital,total_capital,strategy_net_normal
2021-03-04 08:00:00,50349.37,48374.09,-0.0392314739985824,1567.68,1539.23,-0.0181540993436202,0.0229762136374016,-0.1635801462836773,coin1,,-0.0392314739985824,1.2267637072976758,1.256647644239797,1.2703005679131325,99083.44429722434,3,,8000.0,,0.0,8388.184349161522,1.0485230436451902
2021-03-05 08:00:00,48374.09,48751.71,0.0078062450373743,1539.22,1528.31,-0.0070944563190686,0.0338896065185989,-0.1579373650107991,coin1,,0.0078062450373743,1.2363401253997994,1.2477324124192772,1.2802168454173783,99856.9139425555,4,,8000.0,,0.0,8453.664571609745,1.056708071451218
2021-03-06 08:00:00,48746.81,48882.2,0.0026766240609816,1528.08,1650.35,0.0798529094228264,0.0062664439860273,-0.0833527732417992,coin1,,0.0026766240609816,1.2396493431270017,1.3473674757321186,1.2836435046290966,100124.19336106954,5,,8000.0,,0.0,8476.291853605584,1.059536481700698
2021-03-07 08:00:00,48882.2,50971.75,0.0427466439726527,1650.68,1726.16,0.0459357106068409,0.0638818561878145,-0.0298384150625262,coin1,,0.0427466439726527,1.2926401922485842,1.4092597581784192,1.3385149565092849,104404.16660772424,6,1000.0,9000.0,0.0401462782769603,1040.1462782769604,9878.77116195692,1.0976412402174356
2021-03-08 08:00:00,50959.11,52375.17,0.0275332904991489,1726.46,1833.18,0.0619988877045001,0.0659778623320772,0.0287263115954634,coin1,,0.0275332904991489,1.3282308301726402,1.496632295672194,1.3753686776443108,107278.75685625624,0,,9000.0,,0.0,10150.766238133696,1.1278629153481885
2021-03-09 08:00:00,52375.18,54884.5,0.0479106798125905,1833.22,1870.51,0.0203635213126915,0.0530469183347337,0.0111520747291715,coin1,,0.0479106798125905,1.391867272194253,1.5271089993223772,1.4412635259831934,112418.55502668908,1,,9000.0,,0.0,10637.096349221374,1.1818995943579305
2021-03-10 08:00:00,54874.67,55851.59,0.0176204575062175,1870.5,1795.12,-0.0403045158806957,0.0833903624647447,-0.0744943571130278,coin1,,0.0176204575062175,1.416392610318247,1.4655596104076352,1.4666592486980414,114399.42139844724,2,,9000.0,,0.0,10824.526853432371,1.2027252059369302
2021-03-11 08:00:00,55851.59,57773.16,0.0344049292061336,1795.28,1825.78,0.0170796381300415,0.0333982041283584,-0.0660971867007672,coin1,,0.0344049292061336,1.465123497804337,1.490590838211402,1.5171195563190187,118335.32539288346,3,,9000.0,,0.0,11196.943933514603,1.2441048815016227
2021-03-12 08:00:00,57773.15,57221.72,-0.0095449167052659,1825.78,1766.1,-0.0326873993580826,0.024722431595745,-0.0767903815995818,coin1,,-0.0095449167052659,1.4511390160548667,1.441867300203287,1.5026387765220235,117205.82456871784,4,,9000.0,,0.0,11090.070036315676,1.232230004035075
2021-03-13 08:00:00,57221.72,61188.39,0.0693210550119778,1766.13,1922.35,0.088471773965234,0.0658406924262353,-0.0057821704343868,coin1,,0.0693210550119778,1.5517335036168338,1.5694318580747346,1.606803281812438,125330.65598137016,5,,9000.0,,0.0,11858.8453913898,1.3176494879321998
